Wall time,Step,Value
1755673065.8608503,4,-0.503324568271637
1755673168.0569508,18,-0.26213911175727844
1755673331.2994215,40,0.015148998238146305
1755673383.3622918,47,0.07222314178943634
1755673390.6023688,48,0.09929975122213364
1755673496.3598535,62,0.2910352051258087
1755673503.5570626,63,0.27009284496307373
1755673533.3858001,67,0.25353917479515076
1755673563.2382362,71,0.3029642701148987
1755673607.3937407,77,0.3219214975833893
1755673645.4664314,82,0.39144352078437805
1755673696.3544116,89,0.3871077001094818
1755673769.7527056,99,0.4410244822502136
1755673799.365415,103,0.48508498072624207
1755673828.789257,107,0.49126625061035156
1755673930.8423824,121,0.5260792374610901
1755673959.647071,125,0.570405900478363
1755673966.6785843,126,0.5952685475349426
1755673981.2069836,128,0.5430359840393066
1755673995.1412535,130,0.6440269947052002
1755674097.3315356,144,0.6309258937835693
1755674118.2069006,147,0.6770851612091064
1755674190.5368276,157,0.6807361841201782
1755674211.335127,160,0.729291558265686
1755674226.2521079,162,0.726691722869873
1755674240.063568,164,0.7121980786323547
1755674296.4795635,172,0.7041928172111511
1755674332.240171,177,0.7859451174736023
1755674431.9653013,191,0.8479232788085938
1755674514.4812305,203,0.8306038975715637
1755674529.1612558,205,0.8333057165145874
1755674584.3611677,213,0.8141833543777466
1755674694.0294073,229,0.8983057141304016
1755674797.008268,244,0.8936089873313904
1755674803.6512456,245,0.9818446040153503
1755674892.6495302,258,0.9231070876121521
1755674899.2526262,259,1.0389443635940552
1755674980.9482477,271,1.1698826551437378
1755675000.6853411,274,0.9485491514205933
1755675055.5736332,282,1.1892956495285034
1755675076.0271986,285,1.029186487197876
1755675143.3216271,295,0.9955213069915771
1755675231.802541,308,1.0683602094650269
1755675285.7653437,316,1.1307862997055054
1755675305.7741303,319,1.1925983428955078
1755675325.4180617,322,1.1147971153259277
1755675479.6823556,345,1.11030113697052
1755675486.8763678,346,1.0714974403381348
1755675566.7929873,358,1.1193392276763916
1755675606.8925688,364,1.2026808261871338
1755675620.3468022,366,1.1775745153427124
1755675700.9041042,378,1.168227195739746
1755675753.3853428,386,1.1412051916122437
1755675780.4087975,390,1.4521124362945557
1755675794.5213006,392,1.8977258205413818
1755675863.371121,402,1.4533021450042725
1755675876.679159,404,1.4378758668899536
1755675952.9699159,415,1.5609700679779053
1755676001.3200834,422,1.4159737825393677
1755676111.5957294,436,1.5037264823913574
1755676120.1761415,437,1.8662914037704468
1755676134.2718298,439,1.5259053707122803
1755676186.336979,446,1.5588940382003784
1755676289.1878269,461,1.8070038557052612
1755676317.2933617,465,1.6625821590423584
1755676378.5852447,474,1.6664355993270874
1755676385.0464823,475,1.7044445276260376
1755676418.5326517,480,1.7705620527267456
1755676427.2086914,481,1.5505436658859253
1755676468.3173869,487,1.6862131357192993
1755676624.9317477,510,1.7613190412521362
1755676638.4209323,512,1.722567081451416
1755676644.865205,513,1.8621188402175903
1755676651.3135948,514,1.7858867645263672
1755676672.7255266,517,1.8373898267745972
1755676685.6602452,519,1.7808297872543335
1755676781.9092307,533,1.792043924331665
1755676788.355044,534,1.863205075263977
1755676801.1139205,536,1.7801671028137207
1755676815.9610949,538,2.0298542976379395
1755676828.7100375,540,1.700236439704895
1755676855.0142393,544,1.7614456415176392
1755676867.7713609,546,1.8374780416488647
1755676910.3570957,552,1.9983471632003784
1755676938.14546,556,1.9383565187454224
1755676977.1719587,562,1.7422394752502441
1755676989.9062984,564,1.7331054210662842
1755677017.437639,568,1.9925551414489746
1755677124.770793,584,1.8647594451904297
1755677163.7538157,590,1.7425212860107422
1755677191.2172396,594,1.8477615118026733
1755677203.8574665,596,1.9605343341827393
1755677323.8895128,614,2.1212027072906494
1755677383.2646227,623,2.1076016426086426
1755677417.2715838,628,2.113463878631592
1755677424.00832,629,2.00665020942688
1755677476.829317,637,2.132626533508301
1755677517.5182042,643,1.9058748483657837
1755677523.83542,644,1.8526759147644043
