Wall time,Step,Value
1754854260.9396996,400,2.263763666152954
1754854273.1935847,800,1.8198137283325195
1754854285.5364618,1200,2.1240015029907227
1754854297.980943,1600,1.9971792697906494
1754854310.2723947,2000,1.8895095586776733
1754854322.4983418,2400,1.7257778644561768
1754854334.91847,2800,1.4784446954727173
1754854347.3411722,3200,1.1581743955612183
1754854359.9967782,3600,1.057322382926941
1754854372.4535413,4000,1.4534552097320557
1754854384.8328962,4400,1.41532564163208
1754854397.3483112,4800,1.4293208122253418
1754854409.739708,5200,1.6574163436889648
1754854422.3287904,5600,1.5957754850387573
1754854434.8635387,6000,1.6091926097869873
1754854447.4249496,6400,1.640649676322937
1754854460.0529041,6800,1.6954255104064941
1754854472.604692,7200,1.681267261505127
1754854485.2769508,7600,1.708404302597046
1754854497.7836561,8000,1.728687047958374
1754854510.4135582,8400,1.6897552013397217
1754854522.8837254,8800,1.694612741470337
1754854535.341629,9200,1.7757971286773682
1754854547.9117293,9600,1.7987608909606934
1754854560.3743756,10000,1.7534805536270142
1754854572.9640644,10400,1.7202295064926147
1754854585.3333037,10800,1.6953295469284058
1754854597.6211922,11200,1.7095433473587036
1754854609.9348164,11600,1.750524878501892
1754854622.1446645,12000,1.7887132167816162
1754854634.435813,12400,1.7840421199798584
1754854646.588162,12800,1.701323390007019
1754854658.7863638,13200,1.7593694925308228
1754854670.9149609,13600,1.701522707939148
1754854683.0125887,14000,1.7599118947982788
1754854695.2192242,14400,1.8512500524520874
1754854707.3235462,14800,2.0462756156921387
1754854719.5428083,15200,2.0247294902801514
1754854731.5635858,15600,1.9757726192474365
1754854743.6577196,16000,1.9566646814346313
1754854755.7738147,16400,1.9852198362350464
1754854767.8210483,16800,1.9632488489151
1754854780.0375807,17200,2.0425796508789062
1754854792.1061263,17600,1.886339783668518
1754854804.203669,18000,1.8778955936431885
1754854816.4949565,18400,2.063845634460449
1754854828.5772197,18800,2.030123472213745
1754854840.6807342,19200,1.8952816724777222
1754854852.7256885,19600,2.0376484394073486
1754854864.929782,20000,2.0275144577026367
1754854877.3153343,20400,2.023181915283203
1754854889.6507607,20800,2.1168372631073
1754854902.1217911,21200,2.1192467212677
1754854914.4513726,21600,2.1842987537384033
1754854926.7682097,22000,2.1261789798736572
1754854939.1469786,22400,2.151580572128296
1754854951.3756144,22800,2.0930933952331543
1754854963.8814535,23200,2.0833396911621094
1754854976.2250457,23600,2.150542974472046
1754854988.54813,24000,2.2292323112487793
1754855000.889402,24400,2.1330366134643555
1754855012.9386194,24800,2.0144314765930176
1754855025.1141257,25200,2.0545616149902344
1754855037.1445298,25600,2.074514150619507
1754855049.489071,26000,2.067856788635254
1754855061.6419513,26400,2.1332244873046875
1754855073.814424,26800,1.8754832744598389
1754855086.009172,27200,2.0906436443328857
1754855098.0275233,27600,2.113527536392212
1754855110.2597103,28000,2.0961387157440186
1754855122.3083935,28400,2.112104654312134
1754855134.271366,28800,2.007415771484375
1754855146.3616462,29200,2.1017918586730957
1754855158.1700304,29600,2.0242667198181152
1754855170.221303,30000,2.0791759490966797
1754855182.1586566,30400,2.1598496437072754
1754855194.1162188,30800,2.112659454345703
1754855206.267438,31200,2.023763656616211
1754855218.1568148,31600,2.204514503479004
1754855230.2653503,32000,2.2361743450164795
1754855242.1987298,32400,2.2589917182922363
1754855254.094211,32800,2.2655816078186035
1754855266.1382976,33200,2.28271222114563
1754855278.0559454,33600,2.2703912258148193
1754855289.8953176,34000,2.3630261421203613
1754855301.884584,34400,2.3096022605895996
1754855313.6910114,34800,2.2718095779418945
1754855325.8798668,35200,2.2457427978515625
1754855337.7991688,35600,2.106826066970825
1754855349.730244,36000,2.124739170074463
1754855362.0345411,36400,1.9671787023544312
1754855374.206027,36800,2.128427028656006
1754855386.4183705,37200,2.22027587890625
1754855398.5826035,37600,2.1216418743133545
1754855410.7285016,38000,2.199469566345215
1754855422.9894435,38400,2.1671433448791504
1754855435.0818515,38800,2.3033607006073
1754855447.1984637,39200,2.307102680206299
1754855459.0966275,39600,2.230867385864258
1754855470.9529853,40000,2.1203391551971436
