Wall time,Step,Value
1754851218.7040567,800,1.7551372051239014
1754851244.6558077,1600,2.077779769897461
1754851269.7526264,2400,2.417536497116089
1754851294.5388336,3200,2.9245200157165527
1754851319.6911488,4000,6.3104939460754395
1754851345.1981876,4800,9.201761245727539
1754851370.6293845,5600,14.132396697998047
1754851396.1441689,6400,17.769058227539062
1754851421.5217202,7200,19.831222534179688
1754851447.156957,8000,21.05876350402832
1754851472.6130002,8800,21.662296295166016
1754851498.227799,9600,22.581562042236328
1754851523.6535547,10400,22.931102752685547
1754851548.9479449,11200,23.120317459106445
1754851573.7252371,12000,23.455076217651367
1754851599.36917,12800,23.215024948120117
1754851624.853383,13600,22.991880416870117
1754851650.1999843,14400,23.245256423950195
1754851675.80348,15200,23.27979278564453
1754851701.1697462,16000,22.955671310424805
1754851726.3126166,16800,23.036279678344727
1754851751.8956907,17600,23.505048751831055
1754851776.871989,18400,23.171443939208984
1754851801.8893063,19200,22.499378204345703
1754851827.784237,20000,21.703954696655273
1754851853.1795166,20800,21.976150512695312
1754851878.460008,21600,22.749879837036133
1754851903.2310996,22400,22.726762771606445
1754851928.1402397,23200,22.549419403076172
1754851953.5369751,24000,22.948328018188477
1754851978.5969207,24800,22.62811851501465
1754852003.5384645,25600,22.920059204101562
1754852028.604962,26400,22.91510772705078
1754852053.0235906,27200,22.876480102539062
1754852077.8556597,28000,22.420427322387695
1754852102.9747374,28800,22.57703399658203
1754852127.7568333,29600,22.15052604675293
1754852152.45885,30400,21.68718719482422
1754852177.2253878,31200,22.142107009887695
1754852202.0975025,32000,22.35645866394043
1754852226.9125051,32800,21.97081184387207
1754852251.6810775,33600,22.254981994628906
1754852276.5845873,34400,22.54314613342285
1754852301.1084807,35200,22.2011775970459
1754852325.7651653,36000,20.87918472290039
1754852350.6876304,36800,21.526281356811523
1754852375.0841196,37600,21.458513259887695
1754852400.189666,38400,21.01180648803711
1754852425.8563952,39200,21.14105796813965
1754852450.9710531,40000,21.0416316986084
1754852475.6753747,40800,21.14653968811035
1754852500.3910599,41600,21.2100887298584
1754852524.7672288,42400,21.142677307128906
1754852549.0599303,43200,21.053014755249023
1754852573.265106,44000,20.7699031829834
1754852597.2112029,44800,20.351686477661133
1754852621.1246161,45600,20.068016052246094
1754852645.1777608,46400,20.895862579345703
1754852669.0778883,47200,20.8704776763916
1754852692.93961,48000,19.921432495117188
1754852716.8480537,48800,19.56224822998047
1754852740.9101305,49600,20.864240646362305
1754852764.8640249,50400,20.919422149658203
1754852788.779848,51200,20.78623390197754
1754852812.6729822,52000,20.488534927368164
1754852836.7025878,52800,19.497560501098633
1754852860.6708086,53600,18.68915557861328
1754852884.546036,54400,19.247861862182617
1754852908.241786,55200,20.510438919067383
1754852931.9031327,56000,21.109323501586914
1754852955.6364243,56800,21.496196746826172
1754852979.273656,57600,21.292110443115234
1754853003.029737,58400,21.058181762695312
1754853026.765193,59200,20.570789337158203
1754853050.4386618,60000,20.553274154663086
1754853074.1187205,60800,21.057737350463867
1754853097.859166,61600,21.24005699157715
1754853121.4289007,62400,21.340560913085938
1754853145.0588377,63200,21.193641662597656
1754853168.7455647,64000,21.12239646911621
1754853192.431274,64800,21.139320373535156
1754853215.9070554,65600,20.77049446105957
1754853239.2720308,66400,20.627084732055664
1754853262.702682,67200,20.894739151000977
1754853286.1576114,68000,20.95425796508789
1754853309.8342352,68800,20.665571212768555
1754853333.1770775,69600,20.879533767700195
1754853356.4977956,70400,20.736967086791992
1754853379.7957993,71200,20.896974563598633
1754853403.1139762,72000,21.236249923706055
1754853426.3015943,72800,21.22470474243164
1754853449.4020212,73600,21.290048599243164
1754853472.7998564,74400,21.60715103149414
1754853496.3768322,75200,21.43213653564453
1754853519.6323144,76000,21.528249740600586
1754853542.6189764,76800,21.766813278198242
1754853565.5466008,77600,21.752628326416016
1754853588.5472648,78400,21.672996520996094
1754853611.6710894,79200,21.55885124206543
1754853634.768484,80000,21.612102508544922
