Wall time,Step,Value
1754851218.7042098,800,17.088224411010742
1754851244.6559844,1600,20.790075302124023
1754851269.752779,2400,23.96811294555664
1754851294.5389872,3200,30.88153839111328
1754851319.6913104,4000,65.72706604003906
1754851345.1984577,4800,98.4927749633789
1754851370.629538,5600,159.37327575683594
1754851396.1443338,6400,203.3627166748047
1754851421.521873,7200,231.00608825683594
1754851447.1571107,8000,245.6537628173828
1754851472.6131895,8800,253.66481018066406
1754851498.2279549,9600,264.0944519042969
1754851523.6537168,10400,269.325927734375
1754851548.9480984,11200,270.0868225097656
1754851573.7254016,12000,273.33837890625
1754851599.36936,12800,275.796630859375
1754851624.8535357,13600,275.1250915527344
1754851650.200142,14400,276.8443603515625
1754851675.803632,15200,278.6091003417969
1754851701.1698945,16000,278.2469177246094
1754851726.3127706,16800,279.2348937988281
1754851751.895843,17600,282.1958312988281
1754851776.8721423,18400,280.912109375
1754851801.889461,19200,278.0251159667969
1754851827.7844028,20000,280.0647888183594
1754851853.1796906,20800,283.0729675292969
1754851878.4601612,21600,285.9004821777344
1754851903.2312632,22400,285.3070983886719
1754851928.1404312,23200,286.47467041015625
1754851953.537129,24000,286.8884582519531
1754851978.5970976,24800,287.7878112792969
1754852003.5386178,25600,288.4405212402344
1754852028.605117,26400,288.18682861328125
1754852053.023745,27200,288.09844970703125
1754852077.8558125,28000,288.0986022949219
1754852102.974896,28800,288.7903747558594
1754852127.7569864,29600,288.7099304199219
1754852152.459021,30400,288.2384033203125
1754852177.22554,31200,289.4595642089844
1754852202.0976603,32000,290.1763000488281
1754852226.9126775,32800,288.3922424316406
1754852251.6812665,33600,289.4817810058594
1754852276.5847406,34400,290.4640197753906
1754852301.1086366,35200,289.1077880859375
1754852325.7653673,36000,288.8381042480469
1754852350.6877868,36800,290.67828369140625
1754852375.0842872,37600,290.5511779785156
1754852400.18982,38400,289.8410949707031
1754852425.8565493,39200,289.999755859375
1754852450.971209,40000,290.0996398925781
1754852475.6755288,40800,291.08819580078125
1754852500.391236,41600,290.6163635253906
1754852524.767393,42400,291.4292907714844
1754852549.0600984,43200,292.5197448730469
1754852573.265269,44000,291.0864562988281
1754852597.2113702,44800,291.08135986328125
1754852621.1247697,45600,289.7370910644531
1754852645.177914,46400,289.681884765625
1754852669.0780458,47200,289.9414978027344
1754852692.939765,48000,290.4982604980469
1754852716.8482094,48800,291.0450744628906
1754852740.9102983,49600,292.27789306640625
1754852764.8641813,50400,291.6114807128906
1754852788.7800062,51200,291.6897888183594
1754852812.6731563,52000,291.9355773925781
1754852836.7027462,52800,290.8988342285156
1754852860.6709633,53600,291.0846862792969
1754852884.546189,54400,292.42608642578125
1754852908.24194,55200,292.844482421875
1754852931.9032972,56000,293.2385559082031
1754852955.6365783,56800,293.152587890625
1754852979.27381,57600,291.0786437988281
1754853003.0298913,58400,290.66986083984375
1754853026.7653625,59200,290.2579650878906
1754853050.4388304,60000,292.3480224609375
1754853074.1188695,60800,292.8437805175781
1754853097.85933,61600,293.3707275390625
1754853121.4290593,62400,293.0436096191406
1754853145.058991,63200,292.7946472167969
1754853168.7457187,64000,293.14935302734375
1754853192.4314258,64800,292.950439453125
1754853215.9072104,65600,292.63720703125
1754853239.2721858,66400,293.3916320800781
1754853262.7028406,67200,293.1372985839844
1754853286.1577728,68000,293.10791015625
1754853309.8343956,68800,293.17034912109375
1754853333.1772313,69600,293.760986328125
1754853356.4979486,70400,293.7181701660156
1754853379.7959538,71200,294.2561340332031
1754853403.1141317,72000,293.9773254394531
1754853426.301752,72800,294.0540466308594
1754853449.4021754,73600,293.8772277832031
1754853472.8000286,74400,293.46990966796875
1754853496.3769863,75200,294.1551513671875
1754853519.632473,76000,294.41339111328125
1754853542.6191292,76800,294.71405029296875
1754853565.5467556,77600,294.59588623046875
1754853588.5474212,78400,294.4804992675781
1754853611.6712434,79200,294.16412353515625
1754853634.7686415,80000,294.7968444824219
